country;exchange;suffix;delay;provider;mic_code;timezone
Germany;Bremen Stock Exchange;.BM;15 min;ICE Data Services;null;null
Germany;Dusseldorf Stock Exchange;.DU;15 min;ICE Data Services;null;null
Germany;Frankfurt Stock Exchange;.F;15 min;ICE Data Services;null;null
Germany;Hamburg Stock Exchange;.HM;15 min;ICE Data Services;null;null
Germany;Hanover Stock Exchange;.HA;15 min;ICE Data Services;null;null
Germany;Munich Stock Exchange;.MU;15 min;ICE Data Services;null;null
Germany;Stuttgart Stock Exchange;.SG;15 min;ICE Data Services;null;null
Germany;Deutsche Boerse XETRA;.DE;15 min;ICE Data Services;null;null
Global;Currency Rates;#NAME?;Real-time;ICE Data Services;null;null
Greece;Athens Stock Exchange (ATHEX);.AT;15 min;ICE Data Services;null;null
Hong Kong;Hong Kong Stock Exchange (HKEX)***;.HK;15 min;ICE Data Services;null;null
Hungary;Budapest Stock Exchange;.BD;15 min;ICE Data Services;null;null
Iceland;Nasdaq OMX Iceland;.IC;Real-time;ICE Data Services;null;null
India;Bombay Stock Exchange;.BO;Real-time;ICE Data Services;null;null
India;National Stock Exchange of India;.NS;Real-time**;ICE Data Services;null;null
Indonesia;Indonesia Stock Exchange (IDX);.JK;10 min;ICE Data Services;null;null
Ireland;Euronext Dublin;.IR;15 min;ICE Data Services;null;null
Israel;Tel Aviv Stock Exchange;.TA;20 min;ICE Data Services;null;null
Italy;EuroTLX;.TI;20 min;ICE Data Services;null;null
Italy;Italian Stock Exchange;.MI;20 min;ICE Data Services;null;null
Japan;Nikkei Indices;N/A;30 min;ICE Data Services;null;null
Japan;Tokyo Stock Exchange;.T;20 min;ICE Data Services;null;null
Latvia;Nasdaq OMX Riga;.RG;Real-time;ICE Data Services;null;null
Lithuania;Nasdaq OMX Vilnius;.VS;Real-time;ICE Data Services;null;null
Malaysia;Malaysian Stock Exchange;.KL;15 min;ICE Data Services;null;null
Mexico;Mexico Stock Exchange (BMV);.MX;20 min;ICE Data Servicess;null;null
Netherlands;Euronext Amsterdam;.AS;15 min;ICE Data Services;null;null
New Zealand;New Zealand Stock Exchange (NZX);.NZ;20 min;ICE Data Services;null;null
Norway;Oslo Stock Exchange;.OL;15 min;ICE Data Services;null;null
Portugal;Euronext Lisbon;.LS;15 min;ICE Data Services;null;null
Qatar;Qatar Stock Exchange;.QA;15 min;ICE Data Services;null;null
Russia;Moscow Exchange (MOEX);.ME;15 min;ICE Data Services;null;null
Singapore;Singapore Stock Exchange (SGX);.SI;20 min;ICE Data Services;null;null
South Africa;Johannesburg Stock Exchange;.JO;15 min;ICE Data Services;null;null
South Korea;Korea Stock Exchange;.KS;20 min;ICE Data Services;null;null
South Korea;KOSDAQ;.KQ;20 min;ICE Data Services;null;null
Spain;Madrid SE C.A.T.S.;.MC;15 min;ICE Data Services;null;null
Saudi Arabia;Saudi Stock Exchange (Tadawul);.SAU;15 min;ICE Data Services;null;null
Sweden;Nasdaq OMX Stockholm;.ST;Real-time;ICE Data Services;null;null
Switzerland;Swiss Exchange (SIX);.SW;30 min;ICE Data Services;null;null
Taiwan;Taiwan OTC Exchange;.TWO;20 min;ICE Data Services;null;null
Taiwan;Taiwan Stock Exchange (TWSE);.TW;20 min;ICE Data Services;null;null
Thailand;Stock Exchange of Thailand (SET);.BK;15 min;ICE Data Services;null;null
Turkey;Borsa İstanbul;.IS;15 min;ICE Data Services;null;null
United Kingdom;FTSE Indices;N/A;15 min;ICE Data Services;null;null
United Kingdom;London Stock Exchange;.L;20 min;ICE Data Services;null;null
United Kingdom;London Stock Exchange;.IL;20 min;ICE Data Services;null;null
Venezuela;Caracas Stock Exchange;.CR;15 min;ICE Data Services;null;null
